Exposure	Outcome	bxy	se	p	nsnp
AC010982.1_GSMR	BDEP	-0.00263698	0.00380119	0.487855	13
AC011475.1_GSMR	BDEP	-0.0272918	0.0159995	0.0880475	1
AC011513.4_GSMR	BDEP	0.00610301	0.0086823	0.482102	1
AC011515.2_GSMR	BDEP	0.0031599	0.0083247	0.704256	1
AC011747.4_GSMR	BDEP	-0.00120612	0.00344722	0.726427	3
AC011816.1_GSMR	BDEP	-0.000228861	0.00282495	0.935431	6
AC011893.3_GSMR	BDEP	-0.00639204	0.00348724	0.0668055	6
AC011899.9_GSMR	BDEP	0.0116212	0.00701273	0.0974889	3
AC012065.7_GSMR	BDEP	nan	nan	nan	nan
AC012146.7_GSMR	BDEP	0.00147243	0.00311214	0.636124	7
AC012307.3_GSMR	BDEP	-0.0514584	0.0306356	0.0930168	1
AC012309.5_GSMR	BDEP	0.00136739	0.00325355	0.674283	7
AC012314.20_GSMR	BDEP	-0.0121751	0.0118413	0.303861	1
AC012358.4_GSMR	BDEP	0.00762848	0.0143044	0.593828	1
AC012363.7_GSMR	BDEP	-0.00292637	0.00858659	0.733249	1
AC012442.5_GSMR	BDEP	nan	nan	nan	nan
AC012442.6_GSMR	BDEP	-0.0197915	0.0107232	0.0649399	1
AC012454.4_GSMR	BDEP	0.00261211	0.00208668	0.210643	10
AC013264.2_GSMR	BDEP	0.00428097	0.00199622	0.0319898	8
AC013400.2_GSMR	BDEP	nan	nan	nan	nan
AC013437.6_GSMR	BDEP	0.000234229	0.00301016	0.937977	4
AC015815.6_GSMR	BDEP	-0.00918477	0.010937	0.401028	1
AC016683.6_GSMR	BDEP	0.00202753	0.00225103	0.367741	21
AC016722.2_GSMR	BDEP	nan	nan	nan	nan
AC016725.4_GSMR	BDEP	0.0252011	0.0133679	0.0594035	1
AC016735.1_GSMR	BDEP	0.000629618	0.00596577	0.915949	3
AC016735.2_GSMR	BDEP	0.000386316	0.00410061	0.924943	8
AC016747.3_GSMR	BDEP	-0.00770258	0.00431478	0.0742353	7
AC016753.7_GSMR	BDEP	0.00168036	0.00297466	0.572147	6
AC016757.3_GSMR	BDEP	-0.0055983	0.00402397	0.164153	7
AC016773.1_GSMR	BDEP	-0.00570965	0.00395681	0.149023	5
AC016831.7_GSMR	BDEP	nan	nan	nan	nan
AC017074.2_GSMR	BDEP	0.00104138	0.00432026	0.809519	3
AC017099.3_GSMR	BDEP	0.00906083	0.00438589	0.0388377	7
AC017104.2_GSMR	BDEP	nan	nan	nan	nan
AC017104.6_GSMR	BDEP	nan	nan	nan	nan
AC017116.8_GSMR	BDEP	nan	nan	nan	nan
AC018470.4_GSMR	BDEP	-0.00898467	0.013599	0.508813	1
AC018633.4_GSMR	BDEP	-0.00164928	0.00212834	0.43839	7
AC018638.1_GSMR	BDEP	nan	nan	nan	nan
AC018642.1_GSMR	BDEP	0.0102545	0.0103837	0.323367	1
AC018720.10_GSMR	BDEP	0.00756358	0.00321165	0.0185206	3
AC018755.11_GSMR	BDEP	-0.0132394	0.0133182	0.320183	1
AC018755.15_GSMR	BDEP	nan	nan	nan	nan
AC018755.16_GSMR	BDEP	0.00447775	0.00405656	0.269668	9
AC018766.4_GSMR	BDEP	nan	nan	nan	nan
AC018766.5_GSMR	BDEP	nan	nan	nan	nan
AC018766.6_GSMR	BDEP	nan	nan	nan	nan
AC018804.6_GSMR	BDEP	nan	nan	nan	nan
AC018816.3_GSMR	BDEP	nan	nan	nan	nan
AC018890.6_GSMR	BDEP	nan	nan	nan	nan
AC019048.1_GSMR	BDEP	0.00118805	0.0103817	0.908891	1
AC019097.7_GSMR	BDEP	nan	nan	nan	nan
AC019206.1_GSMR	BDEP	0.0248962	0.0138002	0.0712242	1
AC020571.3_GSMR	BDEP	0.0056063	0.0161155	0.727929	1
AC020910.2_GSMR	BDEP	-0.00370927	0.0103489	0.720029	1
AC020956.1_GSMR	BDEP	-0.00802722	0.00491925	0.102722	3
AC020956.3_GSMR	BDEP	nan	nan	nan	nan
AC021188.4_GSMR	BDEP	-0.0215621	0.0104659	0.0393773	1
AC021860.1_GSMR	BDEP	0.0025051	0.00233476	0.28329	11
AC022007.5_GSMR	BDEP	-0.00775236	0.0157368	0.622277	1
AC022182.1_GSMR	BDEP	nan	nan	nan	nan
AC022182.2_GSMR	BDEP	-0.0163944	0.0132502	0.215978	1
AC022182.3_GSMR	BDEP	nan	nan	nan	nan
AC022431.2_GSMR	BDEP	0.00360867	0.00363719	0.321121	7
AC022431.3_GSMR	BDEP	-0.00321938	0.00563291	0.56764	2
AC022498.1_GSMR	BDEP	-0.00547073	0.00465227	0.239624	5
AC022532.1_GSMR	BDEP	nan	nan	nan	nan
AC024560.3_GSMR	BDEP	nan	nan	nan	nan
AC024580.1_GSMR	BDEP	0.0235718	0.0101131	0.0197624	1
AC024704.2_GSMR	BDEP	-0.0034824	0.00459497	0.448527	3
AC024937.6_GSMR	BDEP	nan	nan	nan	nan
AC025171.1_GSMR	BDEP	-0.00345137	0.0246173	0.888501	1
AC025335.1_GSMR	BDEP	0.0177591	0.0181888	0.328879	1
AC025627.9_GSMR	BDEP	-0.0160187	0.00508255	0.00162317	3
AC026740.1_GSMR	BDEP	nan	nan	nan	nan
AC026806.2_GSMR	BDEP	0.0141054	0.0124795	0.258354	1
AC027319.1_GSMR	BDEP	0.0115706	0.00724109	0.110064	1
AC027763.2_GSMR	BDEP	nan	nan	nan	nan
AC034193.5_GSMR	BDEP	-0.00167475	0.0141722	0.905932	1
AC034220.3_GSMR	BDEP	0.00409634	0.00260567	0.11593	3
AC046143.7_GSMR	BDEP	0.00822297	0.0104722	0.432327	1
AC051649.16_GSMR	BDEP	-0.00732818	0.0101351	0.469647	1
AC058791.1_GSMR	BDEP	0.00333106	0.0133021	0.802266	1
AC058791.2_GSMR	BDEP	-0.000274892	0.00351488	0.937663	5
AC062017.1_GSMR	BDEP	0.00304922	0.0088907	0.731623	6
AC062029.1_GSMR	BDEP	-0.0077798	0.0109494	0.477379	1
AC064836.3_GSMR	BDEP	0.0145771	0.00732076	0.0464589	1
AC068039.4_GSMR	BDEP	0.00933815	0.00232467	5.89479e-05	11
AC068134.10_GSMR	BDEP	0.0160459	0.0178549	0.36882	1
AC068282.3_GSMR	BDEP	0.000359403	0.0017807	0.840048	12
AC068491.1_GSMR	BDEP	0.0231087	0.0176319	0.189987	1
AC068580.6_GSMR	BDEP	0.00941494	0.0085433	0.27045	1
AC068610.3_GSMR	BDEP	0.0325399	0.0195594	0.0961826	1
AC068831.10_GSMR	BDEP	nan	nan	nan	nan
AC068831.8_GSMR	BDEP	nan	nan	nan	nan
AC069213.1_GSMR	BDEP	0.00463534	0.0132649	0.726755	3
AC069278.4_GSMR	BDEP	0.00550063	0.0139988	0.694366	1
AC069282.6_GSMR	BDEP	nan	nan	nan	nan
AC069513.3_GSMR	BDEP	0.00235687	0.00231011	0.307614	16
AC069547.1_GSMR	BDEP	-0.0118035	0.0142895	0.40879	1
AC073043.2_GSMR	BDEP	-0.00365163	0.00245035	0.136159	12
AC073052.1_GSMR	BDEP	-0.00158344	0.00554909	0.775375	1
AC073072.5_GSMR	BDEP	nan	nan	nan	nan
AC073115.6_GSMR	BDEP	-0.00264561	0.0044751	0.554397	3
AC073115.7_GSMR	BDEP	-0.00218712	0.00386893	0.571868	5
AC073135.6_GSMR	BDEP	-0.00605765	0.00944727	0.521389	1
AC073343.11_GSMR	BDEP	0.00104846	0.00456092	0.818186	3
AC073343.13_GSMR	BDEP	0.00127115	0.0107665	0.906016	1
AC073346.2_GSMR	BDEP	nan	nan	nan	nan
AC073635.5_GSMR	BDEP	nan	nan	nan	nan
AC074011.2_GSMR	BDEP	-0.00180233	0.00255747	0.480977	8
AC074138.3_GSMR	BDEP	0.0166479	0.0209519	0.426859	1
AC074286.1_GSMR	BDEP	nan	nan	nan	nan
AC074289.1_GSMR	BDEP	-0.00125723	0.00223757	0.574204	9
AC074389.9_GSMR	BDEP	nan	nan	nan	nan
AC078883.3_GSMR	BDEP	0.00517989	0.00342697	0.130659	6
AC079031.1_GSMR	BDEP	-0.0107179	0.0128783	0.405271	1
AC079210.1_GSMR	BDEP	-0.00928813	0.0118114	0.431652	1
AC079325.5_GSMR	BDEP	0.00100141	0.00286305	0.726512	5
AC079325.6_GSMR	BDEP	2.8839e-05	0.00192902	0.988072	7
AC079630.4_GSMR	BDEP	nan	nan	nan	nan
AC079767.4_GSMR	BDEP	-0.00380022	0.00328488	0.24732	5
AC079776.7_GSMR	BDEP	nan	nan	nan	nan
AC079922.3_GSMR	BDEP	0.00127364	0.00226591	0.574055	16
AC083799.1_GSMR	BDEP	-0.00751762	0.00838984	0.370232	1
AC083843.1_GSMR	BDEP	nan	nan	nan	nan
AC083899.3_GSMR	BDEP	-0.00715934	0.0133211	0.590961	1
AC083949.1_GSMR	BDEP	nan	nan	nan	nan
AC084018.1_GSMR	BDEP	-0.0132964	0.00355141	0.000181134	6
AC087163.2_GSMR	BDEP	-0.00380175	0.00878216	0.665091	1
AC087294.2_GSMR	BDEP	-0.0164316	0.014977	0.27259	1
AC087380.14_GSMR	BDEP	nan	nan	nan	nan
AC087793.1_GSMR	BDEP	nan	nan	nan	nan
AC090571.1_GSMR	BDEP	0.00917671	0.013275	0.48939	1
AC090616.2_GSMR	BDEP	nan	nan	nan	nan
AC090804.1_GSMR	BDEP	nan	nan	nan	nan
AC091633.3_GSMR	BDEP	0.00159644	0.00924163	0.862852	1
AC091729.9_GSMR	BDEP	0.00266983	0.00196834	0.174976	5
AC091814.2_GSMR	BDEP	0.000531057	0.0019481	0.785158	14
AC091814.3_GSMR	BDEP	nan	nan	nan	nan
AC091878.1_GSMR	BDEP	0.0612147	0.0351338	0.0814504	1
AC092171.4_GSMR	BDEP	0.0396356	0.0203682	0.0516604	1
AC092295.7_GSMR	BDEP	nan	nan	nan	nan
AC092431.1_GSMR	BDEP	-0.0230836	0.0117801	0.05005	1
AC092580.4_GSMR	BDEP	nan	nan	nan	nan
AC092620.2_GSMR	BDEP	nan	nan	nan	nan
AC092620.3_GSMR	BDEP	0.00227351	0.00611996	0.710271	3
AC092653.5_GSMR	BDEP	0.00506723	0.00449144	0.259237	5
AC093063.2_GSMR	BDEP	nan	nan	nan	nan
AC093110.3_GSMR	BDEP	-0.016091	0.0128094	0.209047	1
AC093157.1_GSMR	BDEP	-0.0148933	0.0109215	0.17267	1
AC093159.1_GSMR	BDEP	-0.0102952	0.00863248	0.233022	3
AC093162.5_GSMR	BDEP	nan	nan	nan	nan
AC093323.3_GSMR	BDEP	-0.00116168	0.00369236	0.753053	3
AC093415.2_GSMR	BDEP	0.00970991	0.0103723	0.349201	1
AC093495.4_GSMR	BDEP	0.000701656	0.0032349	0.828285	6
AC093609.1_GSMR	BDEP	0.00153798	0.00673475	0.819362	3
AC093616.4_GSMR	BDEP	0.0187109	0.0146435	0.201331	1
AC093627.10_GSMR	BDEP	-0.00537691	0.0119054	0.651533	1
AC093627.8_GSMR	BDEP	nan	nan	nan	nan
AC093627.9_GSMR	BDEP	-0.0124014	0.0110404	0.261322	1
AC093642.3_GSMR	BDEP	0.0097705	0.0152382	0.521404	1
AC093668.3_GSMR	BDEP	0.0168015	0.00728922	0.021168	7
AC093673.5_GSMR	BDEP	0.0139575	0.00401099	0.000501762	6
AC093690.1_GSMR	BDEP	0.00710434	0.0057734	0.218498	3
AC093724.2_GSMR	BDEP	0.013397	0.0174504	0.442655	1
AC093726.6_GSMR	BDEP	nan	nan	nan	nan
AC093818.1_GSMR	BDEP	nan	nan	nan	nan
AC093838.4_GSMR	BDEP	nan	nan	nan	nan
AC093901.1_GSMR	BDEP	-0.00383583	0.0084236	0.648845	6
AC096579.13_GSMR	BDEP	nan	nan	nan	nan
AC096772.6_GSMR	BDEP	-0.0223669	0.0125992	0.0758549	1
AC097495.2_GSMR	BDEP	-0.00139119	0.0106512	0.896081	1
AC097495.3_GSMR	BDEP	nan	nan	nan	nan
AC097500.2_GSMR	BDEP	nan	nan	nan	nan
AC097662.2_GSMR	BDEP	0.00568392	0.005878	0.333553	1
AC097713.4_GSMR	BDEP	nan	nan	nan	nan
AC097724.3_GSMR	BDEP	nan	nan	nan	nan
AC098614.2_GSMR	BDEP	-0.00672448	0.00682882	0.324762	3
AC098823.3_GSMR	BDEP	-0.00752322	0.0063046	0.232756	3
AC099552.2_GSMR	BDEP	nan	nan	nan	nan
AC099850.1_GSMR	BDEP	nan	nan	nan	nan
AC103563.8_GSMR	BDEP	0.0173592	0.0244565	0.477829	1
AC103563.9_GSMR	BDEP	0.00575534	0.00814146	0.479618	1
